序号,推进批次,城市,区县,医院名称,医院别名,医院等级,医院类型,官网首页_候选,官网标题_自动识别,医生目录入口_候选,入口类型_自动判断,是否可按科室_初判,是否可全院采集_初判,采集难度_初判,官方确认状态,自动置信度,检索关键词,搜索依据链接,排除或注意事项,下一步动作,人工复核结果,人工备注,更新时间
96,3,佛山市,顺德区,顺德第一人民医院,南方医科大学顺德医院,三级甲等,综合医院,https://www.sdrmyy.com/Index.asp,南方医科大学顺德医院,https://www.sdrmyy.com/a/1203.aspx,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,顺德第一人民医院 官方网站 官网 / 顺德第一人民医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E9%A1%BA%E5%BE%B7%E7%AC%AC%E4%B8%80%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,入口锚文本：医生手记,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
97,4,东莞市,莞城区,东莞市中医院,东莞市中医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,东莞市中医院 官方网站 官网 / 东莞市中医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
98,4,东莞市,莞城区,东莞市人民医院,东莞市人民医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,东莞市人民医院 官方网站 官网 / 东莞市人民医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
99,4,东莞市,塘厦镇,东莞市塘厦医院,塘厦人民医院,三级甲等,综合医院,https://www.11467.com/dongguan/co/86032.htm,东莞市塘厦医院 - 顺企网,,,,,C-仅官网待找入口,已找到官网-待补医生入口,中,东莞市塘厦医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E4%B8%9C%E8%8E%9E%E5%B8%82%E5%A1%98%E5%8E%A6%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
100,4,东莞市,虎门镇,东莞市太平人民医院,东莞市第五人民医院/东莞市滨海湾中心医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,东莞市太平人民医院 官方网站 官网 / 东莞市太平人民医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E4%B8%9C%E8%8E%9E%E5%B8%82%E5%A4%AA%E5%B9%B3%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
101,4,东莞市,莞城区,东莞市妇幼保健院,东莞市妇幼保健院,三级甲等,专科医院,https://m.dgbjy.com/,东莞市妇幼保健院,https://m.dgbjy.com/index.php?c=show&id=3,科室导航,是,待确认,B-半自动采集,自动候选-待人工复核,高,东莞市妇幼保健院 官方网站 官网,https://html.duckduckgo.com/html/?q=site%3Am.dgbjy.com%20%E4%B8%9C%E8%8E%9E%E5%B8%82%E5%A6%87%E5%B9%BC%E4%BF%9D%E5%81%A5%E9%99%A2%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
102,4,东莞市,石龙镇,东莞市石龙人民医院,惠育医院/东莞市第三人民医院,三级甲等,综合医院,https://zyy.yilianmeiti.com/10729/doctor/,东莞市石龙人民医院专家_就医指南_医联媒体,https://zyy.yilianmeiti.com/10729/doctor/,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,东莞市石龙人民医院 官方网站 官网 / 东莞市石龙人民医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E4%B8%9C%E8%8E%9E%E5%B8%82%E7%9F%B3%E9%BE%99%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
103,5,珠海市,香洲区,中山大学附属第五医院,中山五院,三级甲等,综合医院,https://www.sysu5.cn/,中山大学附属第五医院,https://www.sysu5.cn/medical-service/department-expert/doctor/category?category_target_id=All&combine=,医生目录,是,是,A-优先自动采集,已试点确认,高,中山大学附属第五医院 官方网站 官网,https://www.sysu5.cn/,已完成试点采集和Obsidian画像生成,可作为流程样板,,,2026-08-09
104,5,珠海市,吉大区,广东省中医院珠海医院,珠海市中医院,三级甲等,综合医院,https://www.gdhtcm.com/zh/about/index.html,医院介绍 - 珠海市中医院,https://www.gdhtcm.com/zh/expert/index_100000006437876.html,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,广东省中医院珠海医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E4%B8%9C%E7%9C%81%E4%B8%AD%E5%8C%BB%E9%99%A2%E7%8F%A0%E6%B5%B7%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：我要找医生,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
105,5,珠海市,香洲区,珠海市人民医院医疗集团,珠海市人民医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,珠海市人民医院医疗集团 官方网站 官网 / 珠海市人民医院医疗集团 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
106,5,珠海市,香洲区,珠海市妇幼保健院,珠海市妇幼保健院,三级甲等,综合医院,https://fuyou.cn/,珠海市妇幼保健院,,,,,C-仅官网待找入口,已找到官网-待补医生入口,中,珠海市妇幼保健院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E7%8F%A0%E6%B5%B7%E5%B8%82%E5%A6%87%E5%B9%BC%E4%BF%9D%E5%81%A5%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
107,5,珠海市,香洲区,珠海市妇幼保健院(柠溪院区),珠海市妇幼保健院(柠溪院区),三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,珠海市妇幼保健院 官方网站 官网 / 珠海市妇幼保健院 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
108,6,惠州市,惠城,惠州市中医医院,惠州市中医医院,三级甲等,综合医院,https://www.hzszyyy.com/,ҽҩѧҽԺҽҽԺٷվ,,,,,C-仅官网待找入口,已找到官网-待补医生入口,中,惠州市中医医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E6%83%A0%E5%B7%9E%E5%B8%82%E4%B8%AD%E5%8C%BB%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
109,6,惠州市,惠城,惠州市中医医院(东江新城院区),惠州市中医医院(东江新城院区),三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,惠州市中医医院 官方网站 官网 / 惠州市中医医院 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
110,6,惠州市,惠东,惠州市中心人民医院,惠州市中心人民医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,惠州市中心人民医院 官方网站 官网 / 惠州市中心人民医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
111,6,惠州市,惠城,惠州市第173医院,中国人民解放军第一七三医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,惠州市第173医院 官方网站 官网 / 惠州市第173医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
112,7,中山市,西区,中山市中医院,广州中医药大学中山附属医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,中山市中医院 官方网站 官网 / 中山市中医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
113,7,中山市,东区,中山市博爱医院,中山市妇幼保健院,三级甲等,综合医院,https://www.zsboai.com/,中山市博爱医院（中山市妇幼保健院）唯一官方网站,https://www.zsboai.com/expert/,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,中山市博爱医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E4%B8%AD%E5%B1%B1%E5%B8%82%E5%8D%9A%E7%88%B1%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：医院专家,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
114,8,江门市,蓬江,江门市中心医院,江门市中心医院,三级甲等,综合医院,https://www.jmszxyy.com.cn/,江门市中心医院,https://www.jmszxyy.com.cn/byjs/bydt/202607/t1077652.html,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,江门市中心医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E6%B1%9F%E9%97%A8%E5%B8%82%E4%B8%AD%E5%BF%83%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：周末名医门诊 | 8月1日出诊专家名单来啦！,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
115,8,江门市,蓬江,江门市五邑中医院,江门市五邑中医院互联网医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,江门市五邑中医院 官方网站 官网 / 江门市五邑中医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
116,9,肇庆市,端州县,肇庆市第一人民医院,肇庆市第一人民医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,肇庆市第一人民医院 官方网站 官网 / 肇庆市第一人民医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
